"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"JavaScript",4.80855518300603,51,131,38,2666,0.0585003693840953,13.829353015035,18.637908198041,40.2,"JavaScript (40.2%)"
"TypeScript",1.93314032961801,5,69,11,1297.8,0.221816620618827,6.27115814229819,8.2042984719162,17.7,"TypeScript (17.7%)"
"HTML",0.311706301703904,4,6,1,1850.75,0.0756955290031766,5.63303269351935,5.94473899522326,12.8,"HTML (12.8%)"
"Shell",0.0357292796699869,3,7,0,2036,0.0248124470637924,4.85203026391962,4.8877595435896,10.5,"Shell (10.5%)"
"CSS",0.000378476766637203,2,0,0,2518,0.00210353178580211,3.84514301033838,3.84552148710502,8.3,"CSS (8.3%)"
"Vim script",0.00191069483226944,1,0,0,1622,0.0117507804838753,2.42601513195981,2.42792582679208,5.2,"Vim script (5.2%)"
"Vue",7.2980527465766e-05,1,1,0,2438,0.00125646625863589,2.42601513195981,2.42608811248727,5.2,"Vue (5.2%)"
