"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"JavaScript",4.8283570295464,51,131,38,2665,0.0586608641241268,13.829353015035,18.6577100445814,40.2,"JavaScript (40.2%)"
"TypeScript",1.94110108845122,5,69,11,1296.8,0.222425170637155,6.27115814229819,8.21225923074941,17.7,"TypeScript (17.7%)"
"HTML",0.312989922275385,4,6,1,1849.75,0.0759031983628202,5.63303269351935,5.94602261579474,12.8,"HTML (12.8%)"
"Shell",0.0358764144508299,3,7,0,2035,0.0248805195782563,4.85203026391962,4.88790667837045,10.5,"Shell (10.5%)"
"CSS",0.000380035350986725,2,0,0,2517,0.00210930278845841,3.84514301033838,3.84552304568937,8.3,"CSS (8.3%)"
"Vim script",0.00191856315953494,1,0,0,1621,0.011783018544571,2.42601513195981,2.42793369511934,5.2,"Vim script (5.2%)"
"Vue",7.32810645606547e-05,1,1,0,2437,0.00125991335183651,2.42601513195981,2.42608841302437,5.2,"Vue (5.2%)"
