"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"JavaScript",4.15389110115223,49,427,90,2633.87755102041,0.0630167067404873,13.6920805189985,17.8459716201507,33.3,"JavaScript (33.3%)"
"TypeScript",7.37853688582115,12,546,64,617.583333333333,0.364168673072049,8.97732275111538,16.3558596369365,30.5,"TypeScript (30.5%)"
"Objective-C",0.077310126313175,4,100,18,1590.25,0.0349697731961909,5.63303269351935,5.71034281983253,10.7,"Objective-C (10.7%)"
"Ruby",0.0284997691975092,2,1,1,2661.5,0.0326534255051849,3.84514301033838,3.87364277953589,7.2,"Ruby (7.2%)"
"Scheme",0.0601579988606944,1,2,5,840,0.10012159686715,2.42601513195981,2.4861731308205,4.6,"Scheme (4.6%)"
"Makefile",0.029852905702486,1,2,1,996,0.0652997465981005,2.42601513195981,2.45586803766229,4.6,"Makefile (4.6%)"
"Python",0.0296563661389495,1,3,0,996,0.0652997465981005,2.42601513195981,2.45567149809876,4.6,"Python (4.6%)"
"HTML",0.000149860530629127,1,1,1,2273,0.00197458454390457,2.42601513195981,2.42616499249044,4.5,"HTML (4.5%)"
