"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Jupyter Notebook",1.61561303820043,3,0,0,459,0.445706804397307,4.85203026391962,6.46764330212005,37.1,"Jupyter Notebook (37.1%)"
"HTML",0.0161920453659045,3,0,0,1589.66666666667,0.0197142976409796,4.85203026391962,4.86822230928552,27.9,"HTML (27.9%)"
"Java",0.998616750612249,1,0,0,99,0.762438921459952,2.42601513195981,3.42463188257206,19.6,"Java (19.6%)"
"EJS",0.259414162241395,1,0,0,427,0.310409460197026,2.42601513195981,2.6854292942012,15.4,"EJS (15.4%)"
