"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Java",1.11721495104407,10,5,5,1971.8,0.0974950899188063,8.3926334547943,9.50984840583836,38.4,"Java (38.4%)"
"Shell",0.00129373768184424,2,2,0,1958,0.00515485184435254,3.84514301033838,3.84643674802023,15.5,"Shell (15.5%)"
"Go",0.000145428451294422,2,0,0,2481.5,0.00126084683202102,3.84514301033838,3.84528843878968,15.5,"Go (15.5%)"
"Python",0.192970138779286,1,0,0,499,0.254839004612861,2.42601513195981,2.61898527073909,10.6,"Python (10.6%)"
"JavaScript",0.0932363992472018,1,0,0,676,0.15691440796047,2.42601513195981,2.51925153120701,10.2,"JavaScript (10.2%)"
"CSS",1.61834540393332e-05,1,0,0,2783,0.000488262428054586,2.42601513195981,2.42603131541385,9.8,"CSS (9.8%)"
