"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Rust",10.8130981912286,9,33,3,92.5555555555556,0.804436660407322,8.05904782547916,18.8721460167077,15.2,"Rust (15.2%)"
"Go",8.18429294712403,16,586,66,691.25,0.300868196868757,9.91624670419676,18.1005396513208,14.6,"Go (14.6%)"
"Java",7.09111236732999,7,449,155,727.285714285714,0.452523333228264,7.27804539587942,14.3691577632094,11.6,"Java (11.6%)"
"PHP",5.06004494844121,8,746,180,1072,0.240867834447501,7.69028602067677,12.750330969118,10.3,"PHP (10.3%)"
"JavaScript",3.59012214593024,6,552,118,669.333333333333,0.305020220150624,6.8106855216936,10.4008076676238,8.4,"JavaScript (8.4%)"
"Shell",2.76424181878155,3,9,5,469.333333333333,0.616423261221295,4.85203026391962,7.61627208270117,6.1,"Shell (6.1%)"
"TeX",2.28603758403047,2,1,0,83,0.802399322547522,3.84514301033838,6.13118059436885,4.9,"TeX (4.9%)"
"HTML",1.63744597770947,2,4,1,238.5,0.568192958285952,3.84514301033838,5.48258898804785,4.4,"HTML (4.4%)"
"R",1.57912971402733,1,1,0,9,0.975643979472242,2.42601513195981,4.00514484598714,3.2,"R (3.2%)"
"TypeScript",1.44553400472363,1,0,0,9,0.975643979472242,2.42601513195981,3.87154913668344,3.1,"TypeScript (3.1%)"
"Dockerfile",0.0203991050346224,2,9,6,1281,0.0299092033650688,3.84514301033838,3.86554211537301,3.1,"Dockerfile (3.1%)"
"C++",0.0179396119944144,2,5,2,1281,0.0299092033650688,3.84514301033838,3.8630826223328,3.1,"C++ (3.1%)"
"Rich Text Format",1.25187595500823,1,0,0,44,0.886434586038148,2.42601513195981,3.67789108696804,3,"Rich Text Format (3%)"
"Python",1.22795790390156,1,4,0,96,0.768731366672366,2.42601513195981,3.65397303586137,2.9,"Python (2.9%)"
"PowerShell",0.135109097075626,1,2,0,619,0.18343582302219,2.42601513195981,2.56112422903543,2.1,"PowerShell (2.1%)"
"C",0.00811740690175076,1,0,1,1281,0.0299092033650688,2.42601513195981,2.43413253886156,2,"C (2%)"
"CSS",0.00775887093425685,1,0,0,1281,0.0299092033650688,2.42601513195981,2.43377400289407,2,"CSS (2%)"
