"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Go",9.11634687803844,17,637,71,546.058823529412,0.342325660141264,10.1163011526366,19.232648030675,17.6,"Go (17.6%)"
"Java",8.33228129134164,8,449,157,564.5,0.523183142812708,7.69028602067677,16.0225673120184,14.6,"Java (14.6%)"
"Rust",7.52321253050313,5,32,1,27.4,0.928268118321494,6.27115814229819,13.7943706728013,12.6,"Rust (12.6%)"
"PHP",4.20569050227634,8,750,187,906.375,0.233255011311062,7.69028602067677,11.8959765229531,10.9,"PHP (10.9%)"
"JavaScript",3.81159136265907,6,554,119,499.333333333333,0.395386950398978,6.8106855216936,10.6222768843527,9.7,"JavaScript (9.7%)"
"HTML",2.49536752739881,2,3,1,88,0.797500021511707,3.84514301033838,6.34051053773719,5.8,"HTML (5.8%)"
"Shell",1.4426381621008,2,9,5,565,0.479175323796188,3.84514301033838,5.28778117243919,4.8,"Shell (4.8%)"
"Dockerfile",0.0764365350698225,3,9,6,1038,0.0582019967485837,4.85203026391962,4.92846679898944,4.5,"Dockerfile (4.5%)"
"R",1.625759887758,1,1,1,12,0.967657852518394,2.42601513195981,4.05177501971781,3.7,"R (3.7%)"
"C++",0.0486981657653798,2,5,2,1038,0.0582019967485837,3.84514301033838,3.89384117610376,3.6,"C++ (3.6%)"
"TeX",0.83686163254275,1,0,0,142,0.677706418492978,2.42601513195981,3.26287676450256,3,"TeX (3%)"
"PowerShell",0.366761845676941,1,2,0,376,0.356958058855565,2.42601513195981,2.79277697763675,2.6,"PowerShell (2.6%)"
"C",0.0220351937940228,1,0,1,1038,0.0582019967485837,2.42601513195981,2.44805032575383,2.2,"C (2.2%)"
"CSS",0.0210619261456865,1,0,0,1038,0.0582019967485837,2.42601513195981,2.44707705810549,2.2,"CSS (2.2%)"
"Python",0.0113299005263227,1,5,0,1241,0.0333732699603261,2.42601513195981,2.43734503248613,2.2,"Python (2.2%)"
