"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Go",8.49266733302005,16,586,66,682.25,0.308379084173211,9.91624670419676,18.4089140372168,14.9,"Go (14.9%)"
"Rust",9.52030074750784,8,33,3,98.125,0.791402300929844,7.69028602067677,17.2105867681846,13.9,"Rust (13.9%)"
"Java",7.35829701427783,7,449,155,718.285714285714,0.463820146231055,7.27804539587942,14.6363424101573,11.9,"Java (11.9%)"
"PHP",5.25070140021572,8,746,180,1063,0.24688086998476,7.69028602067677,12.9409874208925,10.5,"PHP (10.5%)"
"JavaScript",3.72539366164889,6,552,118,660.333333333333,0.312634758752491,6.8106855216936,10.5360791833425,8.5,"JavaScript (8.5%)"
"Shell",2.47103903592146,3,9,5,482.333333333333,0.575912481294514,4.85203026391962,7.32306929984108,5.9,"Shell (5.9%)"
"TeX",2.37217275058243,2,1,0,74,0.822430455606937,3.84514301033838,6.21731576092082,5,"TeX (5%)"
"HTML",1.69914298697788,2,4,1,229.5,0.582377353051782,3.84514301033838,5.54428599731626,4.5,"HTML (4.5%)"
"R",1.63862943611199,1,1,0,0,1,2.42601513195981,4.0646445680718,3.3,"R (3.3%)"
"TypeScript",1.5,1,0,0,0,1,2.42601513195981,3.92601513195981,3.2,"TypeScript (3.2%)"
"Dockerfile",0.0211677189550333,2,9,6,1272,0.0306558580736056,3.84514301033838,3.86631072929342,3.1,"Dockerfile (3.1%)"
"C++",0.0186155551537968,2,5,2,1272,0.0306558580736056,3.84514301033838,3.86375856549218,3.1,"C++ (3.1%)"
"Rich Text Format",1.29904514620627,1,0,0,35,0.908563579224513,2.42601513195981,3.72506027816608,3,"Rich Text Format (3%)"
"Python",1.27422589149295,1,4,0,87,0.787922011355206,2.42601513195981,3.70024102345276,3,"Python (3%)"
"PowerShell",0.140199846528125,1,2,0,610,0.188015123222937,2.42601513195981,2.56621497848793,2.1,"PowerShell (2.1%)"
"C",0.00842326110132155,1,0,1,1272,0.0306558580736056,2.42601513195981,2.43443839306113,2,"C (2%)"
"CSS",0.00805121592667781,1,0,0,1272,0.0306558580736056,2.42601513195981,2.43406634788649,2,"CSS (2%)"
