"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Go",9.86807644368112,17,637,72,560.117647058824,0.356067620394728,10.1163011526366,19.9843775963177,18.7,"Go (18.7%)"
"Rust",7.24432945209621,6,32,1,84.6666666666667,0.800571706531857,6.8106855216936,14.0550149737898,13.2,"Rust (13.2%)"
"PHP",4.80823360038745,8,750,184,963,0.242017316644515,7.69028602067677,12.4985196210642,11.7,"PHP (11.7%)"
"Java",5.08066559369495,7,450,156,728.285714285714,0.370298822515974,7.27804539587942,12.3587109895744,11.6,"Java (11.6%)"
"JavaScript",4.46272004256762,6,553,119,541.5,0.388765602444944,6.8106855216936,11.2734055642612,10.6,"JavaScript (10.6%)"
"HTML",2.1707733147744,2,3,1,137,0.715132712530124,3.84514301033838,6.01591632511278,5.6,"HTML (5.6%)"
"Shell",1.40079790175493,2,9,5,613,0.466328798652971,3.84514301033838,5.24594091209332,4.9,"Shell (4.9%)"
"Dockerfile",0.0528045718952691,3,9,6,1128,0.0454832588131276,4.85203026391962,4.90483483581489,4.6,"Dockerfile (4.6%)"
"C++",0.0336421031248572,2,5,2,1128,0.0454832588131276,3.84514301033838,3.87878511346324,3.6,"C++ (3.6%)"
"R",1.07754154657265,1,1,0,102,0.756197983013709,2.42601513195981,3.50355667853246,3.3,"R (3.3%)"
"TeX",0.578128249817048,1,0,0,232,0.529608916422339,2.42601513195981,3.00414338177686,2.8,"TeX (2.8%)"
"PowerShell",0.253369703778419,1,2,0,466,0.278952899957928,2.42601513195981,2.67938483573823,2.5,"PowerShell (2.5%)"
"C",0.0152225499737761,1,0,1,1128,0.0454832588131276,2.42601513195981,2.44123768193358,2.3,"C (2.3%)"
"CSS",0.014550188498168,1,0,0,1128,0.0454832588131276,2.42601513195981,2.44056532045798,2.3,"CSS (2.3%)"
"Python",0.00782702337778592,1,5,0,1331,0.0260802920834984,2.42601513195981,2.43384215533759,2.3,"Python (2.3%)"
