"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Go",7.88061632409026,16,586,66,682.4375,0.288348223170083,9.91624670419676,17.796863028287,14.9,"Go (14.9%)"
"Rust",8.71083803124553,7,33,2,90.8571428571429,0.80698587090923,7.27804539587942,15.988883427125,13.4,"Rust (13.4%)"
"Java",8.05456878158349,7,449,155,696.285714285714,0.492636132608413,7.27804539587942,15.3326141774629,12.9,"Java (12.9%)"
"PHP",5.74825110205587,8,746,181,1041,0.262218961363756,7.69028602067677,13.4385371227326,11.3,"PHP (11.3%)"
"JavaScript",4.07790544850289,6,552,118,638.333333333333,0.332057974890266,6.8106855216936,10.8885909701965,9.1,"JavaScript (9.1%)"
"Shell",2.70485872453743,3,9,5,460.333333333333,0.611692484277105,4.85203026391962,7.55688898845705,6.3,"Shell (6.3%)"
"TeX",2.59663731217834,2,1,0,52,0.873526004167451,3.84514301033838,6.44178032251672,5.4,"TeX (5.4%)"
"HTML",1.85992275546949,2,4,1,207.5,0.618559002357852,3.84514301033838,5.70506576580787,4.8,"HTML (4.8%)"
"Dockerfile",0.0231706939719499,2,9,6,1250,0.032560429912094,3.84514301033838,3.86831370431033,3.2,"Dockerfile (3.2%)"
"C++",0.0203770341293206,2,5,2,1250,0.032560429912094,3.84514301033838,3.8655200444677,3.2,"C++ (3.2%)"
"Rich Text Format",1.42196604189773,1,0,0,13,0.96501036346759,2.42601513195981,3.84798117385754,3.2,"Rich Text Format (3.2%)"
"Python",1.39479828911361,1,4,0,65,0.836873636527436,2.42601513195981,3.82081342107341,3.2,"Python (3.2%)"
"R",0.652667307652604,1,1,0,224,0.54134492708069,2.42601513195981,3.07868243961241,2.6,"R (2.6%)"
"PowerShell",0.153466121962332,1,2,0,588,0.199696032889225,2.42601513195981,2.57948125392214,2.2,"PowerShell (2.2%)"
"C",0.00922030406956734,1,0,1,1250,0.032560429912094,2.42601513195981,2.43523543602938,2,"C (2%)"
"CSS",0.00881305447863487,1,0,0,1250,0.032560429912094,2.42601513195981,2.43482818643844,2,"CSS (2%)"
