"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Go",9.48334873465592,18,637,71,545.388888888889,0.351482571503499,10.3055364270825,19.7888851617385,18.1,"Go (18.1%)"
"Java",7.74337614254617,8,450,157,590.75,0.492575329944038,7.69028602067677,15.4336621632229,14.2,"Java (14.2%)"
"PHP",5.6157462768284,8,749,186,908.625,0.271430575829139,7.69028602067677,13.3060322975052,12.2,"PHP (12.2%)"
"Rust",6.6233148991267,5,32,1,58.4,0.852684070915016,6.27115814229819,12.8944730414249,11.8,"Rust (11.8%)"
"JavaScript",3.35566352264066,6,554,119,530.333333333333,0.363192646390242,6.8106855216936,10.1663490443343,9.3,"JavaScript (9.3%)"
"HTML",2.19688129984441,2,3,1,119,0.732563740449287,3.84514301033838,6.0420243101828,5.5,"HTML (5.5%)"
"Shell",1.65262965685992,2,9,5,563.5,0.521498594899225,3.84514301033838,5.4977726671983,5,"Shell (5%)"
"Dockerfile",0.0672934919109242,3,9,6,1069,0.0534629107080642,4.85203026391962,4.91932375583054,4.5,"Dockerfile (4.5%)"
"C++",0.0428730792286166,2,5,2,1069,0.0534629107080642,3.84514301033838,3.888016089567,3.6,"C++ (3.6%)"
"R",1.43129276799389,1,1,1,43,0.888866503818136,2.42601513195981,3.85730789995369,3.5,"R (3.5%)"
"TeX",0.736759475670058,1,0,0,173,0.62252430779454,2.42601513195981,3.16277460762987,2.9,"TeX (2.9%)"
"PowerShell",0.322891209978995,1,2,0,407,0.327892819718138,2.42601513195981,2.7489063419388,2.5,"PowerShell (2.5%)"
"C",0.0193994290031489,1,0,1,1069,0.0534629107080642,2.42601513195981,2.44541456096296,2.2,"C (2.2%)"
"CSS",0.0185425798725511,1,0,0,1069,0.0534629107080642,2.42601513195981,2.44455771183236,2.2,"CSS (2.2%)"
"Python",0.00997466157673444,1,5,0,1272,0.0306558580736056,2.42601513195981,2.43598979353654,2.2,"Python (2.2%)"
