"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Go",8.49570887379822,16,585,66,654.4375,0.307461944607383,9.91624670419676,18.411955577995,16.1,"Go (16.1%)"
"Java",9.11140706527657,7,449,155,666.285714285714,0.53483731397643,7.27804539587942,16.389452461156,14.3,"Java (14.3%)"
"Rust",7.17418221991817,6,33,2,98.8333333333333,0.781873771636137,6.8106855216936,13.9848677416118,12.2,"Rust (12.2%)"
"PHP",5.63233027682536,8,747,182,1020.75,0.25948397145312,7.69028602067677,13.3226162975021,11.6,"PHP (11.6%)"
"JavaScript",3.05720517101937,6,553,118,633.5,0.302149462254017,6.8106855216936,9.86789069271297,8.6,"JavaScript (8.6%)"
"Shell",3.05976267155052,3,9,5,430.333333333333,0.664092508882995,4.85203026391962,7.91179293547014,6.9,"Shell (6.9%)"
"TeX",2.4085115886971,2,1,0,64.5,0.838027900895296,3.84514301033838,6.25365459903548,5.5,"TeX (5.5%)"
"HTML",2.10396283085955,2,4,1,177.5,0.671547240364488,3.84514301033838,5.94910584119793,5.2,"HTML (5.2%)"
"Python",1.57780948064198,1,4,0,35,0.908563579224513,2.42601513195981,4.00382461260179,3.5,"Python (3.5%)"
"Dockerfile",0.0262109158774705,2,9,6,1220,0.0353496865605362,3.84514301033838,3.87135392621585,3.4,"Dockerfile (3.4%)"
"C++",0.023050700511713,2,5,2,1220,0.0353496865605362,3.84514301033838,3.8681937108501,3.4,"C++ (3.4%)"
"R",0.738303648460728,1,1,0,194,0.587718698589138,2.42601513195981,3.16431878042054,2.8,"R (2.8%)"
"PowerShell",0.173602379698506,1,2,0,558,0.216802793730762,2.42601513195981,2.59961751165831,2.3,"PowerShell (2.3%)"
"C",0.0104300982363625,1,0,1,1220,0.0353496865605362,2.42601513195981,2.43644523019617,2.1,"C (2.1%)"
"CSS",0.00996941351185714,1,0,0,1220,0.0353496865605362,2.42601513195981,2.43598454547167,2.1,"CSS (2.1%)"
