"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Go",9.29010538135271,16,583,66,602.1875,0.338378762230615,9.91624670419676,19.2063520855495,18.4,"Go (18.4%)"
"Java",5.28353178792011,7,451,155,747.142857142857,0.36855283990821,7.27804539587942,12.5615771837995,12.1,"Java (12.1%)"
"PHP",4.23185589326962,8,750,182,994,0.2223111046424,7.69028602067677,11.9221419139464,11.4,"PHP (11.4%)"
"Rust",5.24571500974182,4,33,2,86.5,0.80227395909179,5.63303269351935,10.8787477032612,10.4,"Rust (10.4%)"
"JavaScript",3.92890670424709,6,553,119,572.5,0.357110440379979,6.8106855216936,10.7395922259407,10.3,"JavaScript (10.3%)"
"TeX",3.09470903424961,2,1,0,3.5,0.990465150945175,3.84514301033838,6.93985204458799,6.7,"TeX (6.7%)"
"HTML",1.91111379348609,2,3,1,168,0.656903173263453,3.84514301033838,5.75625680382448,5.5,"HTML (5.5%)"
"Shell",1.23323986604675,2,9,5,644,0.428358068721918,3.84514301033838,5.07838287638513,4.9,"Shell (4.9%)"
"Dockerfile",0.0336785417776812,2,9,6,1159,0.0417797934861606,3.84514301033838,3.87882155211606,3.7,"Dockerfile (3.7%)"
"C++",0.0296179646608923,2,5,2,1159,0.0417797934861606,3.84514301033838,3.87476097499928,3.7,"C++ (3.7%)"
"R",0.948650187789571,1,1,0,133,0.694624712243468,2.42601513195981,3.37466531974938,3.2,"R (3.2%)"
"PowerShell",0.223062598221014,1,2,0,497,0.256239215410924,2.42601513195981,2.64907773018082,2.5,"PowerShell (2.5%)"
"C",0.013401687329079,1,0,1,1159,0.0417797934861606,2.42601513195981,2.43941681928889,2.3,"C (2.3%)"
"CSS",0.0128097511368024,1,0,0,1159,0.0417797934861606,2.42601513195981,2.43882488309661,2.3,"CSS (2.3%)"
"Python",0.00689078506604885,1,5,0,1362,0.0239567094737904,2.42601513195981,2.43290591702586,2.3,"Python (2.3%)"
