"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Rust",11.4478980851586,10,33,3,106.1,0.777063346507256,8.3926334547943,19.8405315399529,16.2,"Rust (16.2%)"
"Go",7.66615030467301,16,585,66,719.5,0.282998024067882,9.91624670419676,17.5823970088698,14.4,"Go (14.4%)"
"Java",7.00469773669019,7,450,154,745.571428571429,0.446251736607392,7.27804539587942,14.2827431325696,11.7,"Java (11.7%)"
"PHP",4.45478191150079,8,746,180,1103,0.221255218805271,7.69028602067677,12.1450679321776,9.9,"PHP (9.9%)"
"JavaScript",3.16068559839479,6,552,118,700.333333333333,0.280184009227549,6.8106855216936,9.97137112008839,8.1,"JavaScript (8.1%)"
"Shell",2.6330426562856,3,9,5,489.666666666667,0.593981428709924,4.85203026391962,7.48507292020521,6.1,"Shell (6.1%)"
"TeX",2.01259059595649,2,1,0,114,0.737064116870068,3.84514301033838,5.85773360629487,4.8,"TeX (4.8%)"
"HTML",1.44158101299219,2,4,1,269.5,0.521927959362184,3.84514301033838,5.28672402333057,4.3,"HTML (4.3%)"
"Dockerfile",0.0179590428632526,2,9,6,1312,0.0274738524137477,3.84514301033838,3.86310205320164,3.2,"Dockerfile (3.2%)"
"C++",0.0157937448829736,2,5,2,1312,0.0274738524137477,3.84514301033838,3.86093675522136,3.2,"C++ (3.2%)"
"R",1.39024031557851,1,1,0,40,0.896202361968866,2.42601513195981,3.81625544753832,3.1,"R (3.1%)"
"Rich Text Format",1.33147456811958,1,0,0,29,0.923622302168101,2.42601513195981,3.75748970007938,3.1,"Rich Text Format (3.1%)"
"TypeScript",1.27262480913058,1,0,0,40,0.896202361968866,2.42601513195981,3.69863994109039,3,"TypeScript (3%)"
"Python",1.0810743213003,1,4,0,127,0.706137567623795,2.42601513195981,3.50708945326011,2.9,"Python (2.9%)"
"PowerShell",0.118947868618661,1,2,0,650,0.168499597518264,2.42601513195981,2.54496300057847,2.1,"PowerShell (2.1%)"
"C",0.00714643403421758,1,0,1,1312,0.0274738524137477,2.42601513195981,2.43316156599403,2,"C (2%)"
"CSS",0.00683078475463829,1,0,0,1312,0.0274738524137477,2.42601513195981,2.43284591671445,2,"CSS (2%)"
