"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Go",8.35068118987929,18,637,72,576.388888888889,0.322863172837616,10.3055364270825,18.6562176169618,17.2,"Go (17.2%)"
"Java",7.1708325628197,8,450,157,613.375,0.473144711727917,7.69028602067677,14.8611185834965,13.7,"Java (13.7%)"
"PHP",5.39690287149668,8,750,186,935,0.261313701943391,7.69028602067677,13.0871888921735,12.1,"PHP (12.1%)"
"Rust",6.45862761631097,5,32,1,73.2,0.822516661080012,6.27115814229819,12.7297857586092,11.7,"Rust (11.7%)"
"JavaScript",5.00695000511338,6,553,119,513.5,0.419762437546402,6.8106855216936,11.817635526807,10.9,"JavaScript (10.9%)"
"HTML",2.43549973017269,2,3,1,109,0.772151262079127,3.84514301033838,6.28064274051107,5.8,"HTML (5.8%)"
"Shell",1.57162559928795,2,9,5,585,0.503509857841339,3.84514301033838,5.41676860962633,5,"Shell (5%)"
"Dockerfile",0.0592441042680578,3,9,6,1100,0.0491097038083664,4.85203026391962,4.91127436818767,4.5,"Dockerfile (4.5%)"
"C++",0.037744767049316,2,5,2,1100,0.0491097038083664,3.84514301033838,3.8828877773877,3.6,"C++ (3.6%)"
"R",1.2600870541447,1,1,1,74,0.816490725057035,2.42601513195981,3.68610218610451,3.4,"R (3.4%)"
"TeX",0.64863115224952,1,0,0,204,0.571835389514001,2.42601513195981,3.07464628420933,2.8,"TeX (2.8%)"
"PowerShell",0.284268210313062,1,2,0,438,0.301194211912202,2.42601513195981,2.71028334227287,2.5,"PowerShell (2.5%)"
"C",0.0170789442183303,1,0,1,1100,0.0491097038083664,2.42601513195981,2.44309407617814,2.3,"C (2.3%)"
"CSS",0.0163245880719392,1,0,0,1100,0.0491097038083664,2.42601513195981,2.44233972003175,2.3,"CSS (2.3%)"
"Python",0.00878153107692594,1,5,0,1303,0.0281597109107455,2.42601513195981,2.43479666303673,2.2,"Python (2.2%)"
