"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Go",8.57536990653092,16,585,66,630.25,0.316698897659344,9.91624670419676,18.4916166107277,17.2,"Go (17.2%)"
"PHP",5.92113540288112,8,748,182,994,0.270414895101731,7.69028602067677,13.6114214235579,12.7,"PHP (12.7%)"
"Rust",6.04180354809922,5,33,2,96.4,0.782598869734094,6.27115814229819,12.3129616903974,11.5,"Rust (11.5%)"
"Java",4.98023296972252,7,452,155,773,0.349886850580658,7.27804539587942,12.2582783656019,11.4,"Java (11.4%)"
"JavaScript",3.47258202293303,6,553,118,602.5,0.328932745837986,6.8106855216936,10.2832675446266,9.6,"JavaScript (9.6%)"
"TeX",2.73575163493089,2,1,0,33.5,0.912312788756811,3.84514301033838,6.58089464526928,6.1,"TeX (6.1%)"
"HTML",1.68944240870654,2,3,1,198,0.605070421075675,3.84514301033838,5.53458541904493,5.2,"HTML (5.2%)"
"Shell",1.63120517097315,2,9,5,624.5,0.51236686296425,3.84514301033838,5.47634818131153,5.1,"Shell (5.1%)"
"Python",1.79218355707012,1,4,0,4,0.989100925923405,2.42601513195981,4.21819868902993,3.9,"Python (3.9%)"
"Dockerfile",0.0297721448804057,2,9,6,1189,0.038483171136985,3.84514301033838,3.87491515521879,3.6,"Dockerfile (3.6%)"
"C++",0.0261825568567575,2,5,2,1189,0.038483171136985,3.84514301033838,3.87132556719514,3.6,"C++ (3.6%)"
"R",0.838615609254558,1,1,0,163,0.639815553087857,2.42601513195981,3.26463074121437,3,"R (3%)"
"PowerShell",0.197189416200816,1,2,0,527,0.23602073528515,2.42601513195981,2.62320454816062,2.4,"PowerShell (2.4%)"
"C",0.0118472165284678,1,0,1,1189,0.038483171136985,2.42601513195981,2.43786234848828,2.3,"C (2.3%)"
"CSS",0.0113239394165088,1,0,0,1189,0.038483171136985,2.42601513195981,2.43733907137632,2.3,"CSS (2.3%)"
