"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"JavaScript",34.0883034872882,43,7238,1324,865.697674418605,0.341619044910009,13.2446637187139,47.3329672060021,35.8,"JavaScript (35.8%)"
"TypeScript",27.9199253184089,26,11971,1308,595.807692307692,0.443273140759558,11.5354290310152,39.4553543494241,29.9,"TypeScript (29.9%)"
"Python",10.534353208652,10,1652,225,633.6,0.465679253935756,8.3926334547943,18.9269866634463,14.3,"Python (14.3%)"
"Java",5.37463259772014,3,5219,1151,181.666666666667,0.65375034748209,4.85203026391962,10.2266628616398,7.7,"Java (7.7%)"
"HTML",2.48646196761073,3,121,23,553.666666666667,0.418990193411534,4.85203026391962,7.33849223153035,5.6,"HTML (5.6%)"
"PHP",2.27905394470262,1,166,39,58,0.853078157062303,2.42601513195981,4.70506907666243,3.6,"PHP (3.6%)"
"CSS",0.305643507782999,2,41,7,736.5,0.153514121285215,3.84514301033838,4.15078651812138,3.1,"CSS (3.1%)"
